Time,ari,asd,fri,srd,tsrd,tfri,tssi,tfsd,score
1,8,4,23,24,15,47,27,11,0
2,8,4,23,24,15,47,27,11,0
3,8,4,23,24,15,47,27,11,0
4,8,4,23,24,15,47,27,11,0
5,8,4,23,24,15,47,27,11,0
6,8,4,23,24,15,47,27,11,0
7,8,4,23,24,15,47,27,11,0
8,8,4,23,24,15,47,27,11,0
9,8,4,23,24,15,47,27,11,0
10,8,4,23,24,15,47,27,11,0
11,8,4,23,24,15,47,27,11,0
12,8,4,23,24,15,47,27,11,0
13,8,4,23,24,15,47,27,11,0
14,8,4,23,24,15,47,27,11,0
15,8,4,23,24,15,47,27,11,0
16,8,4,23,24,15,47,27,11,0
17,8,4,23,24,15,47,27,11,0
18,8,4,23,24,15,47,27,11,0
19,8,4,23,24,15,47,27,11,0
20,8,4,23,24,15,47,27,11,0
21,8,4,23,24,15,47,27,11,0
22,8,4,23,24,15,47,27,11,0
23,8,4,23,24,15,47,27,11,0
24,8,4,23,24,15,47,27,11,0
25,8,4,23,24,15,47,27,11,0
26,8,4,23,24,15,47,27,11,0
27,8,4,23,24,15,47,27,11,0
28,8,4,23,24,15,47,27,11,0
29,8,4,23,24,15,47,27,11,0
30,8,4,23,24,15,47,27,11,0
31,8,4,23,24,15,47,27,11,0
32,8,4,23,24,15,47,27,11,0
33,8,4,23,24,15,47,27,11,0
34,8,4,23,24,15,47,27,11,0
35,8,4,23,24,15,47,27,11,0
36,8,4,23,24,15,47,27,11,0
37,8,4,23,24,15,47,27,11,0
38,8,4,23,24,15,47,27,11,0
39,8,4,23,24,15,47,27,11,0
40,8,4,23,24,15,47,27,11,0
41,8,4,23,24,15,47,27,11,0
42,8,4,23,24,15,47,27,11,0
43,8,4,23,24,15,47,27,11,0
44,8,4,23,24,15,47,27,11,0
45,8,4,23,24,15,47,27,11,0
46,8,4,23,24,15,47,27,11,0
47,8,4,23,24,15,47,27,11,0
48,8,4,23,24,15,47,27,11,0
49,8,4,23,24,15,47,27,11,0
50,8,4,23,24,15,47,27,11,0
51,8,4,23,24,15,47,27,11,0
52,8,4,23,24,15,47,27,11,0
53,8,4,23,24,15,47,27,11,0
54,8,4,23,24,15,47,27,11,0
55,8,4,23,24,15,47,27,11,0
56,8,4,23,24,15,47,27,11,0
57,8,4,23,24,15,47,27,11,0
58,8,4,23,24,15,47,27,11,0
59,8,4,23,24,15,47,27,11,0
60,8,4,23,24,15,47,27,11,0
61,8,4,23,24,15,47,27,11,0
62,8,4,23,24,15,47,27,11,0
63,8,4,23,24,15,47,27,11,0
64,8,4,23,24,15,47,27,11,0
65,8,4,23,24,15,47,27,11,0
66,8,4,23,24,15,47,27,11,0
67,8,4,23,24,15,47,27,11,0
68,8,4,23,24,15,47,27,11,0
69,8,4,23,24,15,47,27,11,0
70,8,4,23,24,15,47,27,11,0
71,8,4,23,24,15,47,27,11,0
72,8,4,23,24,15,47,27,11,0
73,8,4,23,24,15,47,27,11,0
74,8,4,23,24,15,47,27,11,0
75,8,4,23,24,15,47,27,11,0
76,8,4,23,24,15,47,27,11,0
77,8,4,23,24,15,47,27,11,0
78,8,4,23,24,15,47,27,11,0
79,8,4,23,24,15,47,27,11,0
80,8,4,23,24,15,47,27,11,0
81,8,4,23,24,15,47,27,11,0
82,8,4,23,24,15,47,27,11,0
83,8,4,23,24,15,47,27,11,0
84,8,4,23,24,15,47,27,11,0
85,8,4,23,24,15,47,27,11,0
86,8,4,23,24,15,47,27,11,0
87,8,4,23,24,15,47,27,11,0
88,8,4,23,24,15,47,27,11,0
89,8,4,23,24,15,47,27,11,0
90,8,4,23,24,15,47,27,11,0
91,8,4,23,24,15,47,27,11,0
92,8,4,23,24,15,47,27,11,0
93,8,4,23,24,15,47,27,11,0
94,8,4,23,24,15,47,27,11,0
95,8,4,23,24,15,47,27,11,0
96,8,4,23,24,15,47,27,11,0
97,8,4,23,24,15,47,27,11,0
98,8,4,23,24,15,47,27,11,0
99,8,4,23,24,15,47,27,11,0
100,8,4,23,24,15,47,27,11,0
101,8,4,23,24,15,47,27,11,0
102,8,4,23,24,15,47,27,11,0
103,8,4,23,24,15,47,27,11,0
104,8,4,23,24,15,47,27,11,0
105,8,4,23,24,15,47,27,11,0
106,8,4,23,24,15,47,27,11,0
107,8,4,23,24,15,47,27,11,0
108,8,4,23,24,15,47,27,11,0
109,8,4,23,24,15,47,27,11,0
110,8,4,23,24,15,47,27,11,0
111,8,4,23,24,15,47,27,11,0
112,8,4,23,24,15,47,27,11,0
113,8,4,23,24,15,47,27,11,0
114,8,4,23,24,15,47,27,11,0
115,8,4,23,24,15,47,27,11,0
116,8,4,23,24,15,47,27,11,0
117,8,4,23,24,15,47,27,11,0
118,8,4,23,24,15,47,27,11,0
119,8,4,23,24,15,47,27,11,0
120,8,4,23,24,15,47,27,11,0
121,8,4,23,24,15,47,27,11,1
122,8,4,23,24,15,47,27,11,1
123,8,4,23,24,15,47,27,11,1
124,8,4,23,24,15,47,27,11,1
125,8,4,23,24,15,47,27,11,1
126,8,4,23,24,15,47,27,11,1
127,8,4,23,24,15,47,27,11,1
128,8,4,23,24,15,47,27,11,1
129,8,4,23,24,15,47,27,11,1
130,8,4,23,24,15,47,27,11,1
131,8,4,23,24,15,47,27,11,1
132,8,4,23,24,15,47,27,11,1
133,8,4,23,24,15,47,27,11,1
134,8,4,23,24,15,47,27,11,1
135,8,4,23,24,15,47,27,11,1
136,8,4,23,24,15,47,27,11,1
137,8,4,23,24,15,47,27,11,1
138,8,4,23,24,15,47,27,11,1
139,8,4,23,24,15,47,27,11,1
140,8,4,23,24,15,47,27,11,1
141,8,4,23,24,15,47,27,11,1
142,8,4,23,24,15,47,27,11,1
143,8,4,23,24,15,47,27,11,1
144,8,4,23,24,15,47,27,11,1
145,8,4,23,24,15,47,27,11,1
146,8,4,23,24,15,47,27,11,1
147,8,4,23,24,15,47,27,11,1
148,8,4,23,24,15,47,27,11,2
149,8,4,23,24,15,47,27,11,2
150,8,4,23,24,15,47,27,11,2
151,8,4,23,24,15,47,27,11,2
152,8,4,23,24,15,47,27,11,2
153,8,4,23,24,15,47,27,11,2
154,8,4,23,24,15,47,27,11,2
155,8,4,23,24,15,47,27,11,2
156,8,4,23,24,15,47,27,11,2
157,8,4,23,24,15,47,27,11,2
158,8,4,23,24,15,47,27,11,2
159,8,4,23,24,15,47,27,11,2
160,8,4,23,24,15,47,27,11,2
161,8,4,23,24,15,47,27,11,2
162,8,4,23,24,15,47,27,11,2
163,8,4,23,24,15,47,27,11,2
164,8,4,23,24,15,47,27,11,2
165,8,4,23,24,15,47,27,11,2
166,8,4,23,24,15,47,27,11,2
167,8,4,23,24,15,47,27,11,2
168,8,4,23,24,15,47,27,11,2
169,8,4,23,24,15,47,27,11,2
170,8,4,23,24,15,47,27,11,2
171,8,4,23,24,15,47,27,11,2
172,8,4,23,24,15,47,27,11,2
173,8,4,23,24,15,47,27,11,2
174,8,4,23,24,15,47,27,11,2
175,8,4,23,24,15,47,27,11,2
176,8,4,23,24,15,47,27,11,2
177,8,4,23,24,15,47,27,11,2
178,8,4,23,24,15,47,27,11,2
