Time,Energy,Searching,AverageEffort
1,-72.20771,6,1
2,-110.2244,6,1
3,-146.8242,6,1
4,-185.4075,6,1
5,-222.5474,6,1
6,-260.669,6,1
7,-300.8207,6,1
8,-345.2176,6,1
9,-389.0816,6,1
10,-441.3118,6,1
11,-491.8107,6,1
12,-540.6209,6,1
13,-589.8382,6,1
14,-638.3729,6,1
15,-691.7932,6,1
16,-740.6265,6,1
17,-793.4946,6,1
18,-845.1815,6,1
19,-891.2224,6,1
20,-936.0136,6,1
21,-983.4465,6,1
22,-1033.535,6,1
23,-1085.924,6,1
24,-1137.294,6,1
25,-1186.025,6,1
26,-1237.975,6,1
27,-1289.116,6,1
28,-1337.685,6,1
29,-1389.238,6,1
30,-1438.662,6,1
31,-1490.353,6,1
32,-1544.241,6,1
33,-1596.443,6,1
34,-1669.363,6,1
35,-1717.41,6,1
36,-1768.04,6,1
37,-1818.689,6,1
38,-1863.822,6,1
39,-1927.636,6,1
40,-1975.932,6,1
41,-2027.109,6,1
42,-2079.577,6,1
43,-2131.921,6,1
44,-2183.035,6,1
45,-2231.775,6,1
46,-2278.339,6,1
47,-2329.883,6,1
48,-2379.04,6,1
49,-2430.602,6,1
50,-2480.083,6,1
51,-2530.3,6,1
52,-2579.931,6,1
53,-2627.516,6,1
54,-2675.375,6,1
55,-2725.191,6,1
56,-2775.969,6,1
57,-2826.448,6,1
58,-2875.455,6,1
59,-2926.95,6,1
60,-2976.515,6,1
61,-3028.345,6,1
62,-3079.239,6,1
63,-3131.35,6,1
64,-3182.765,6,1
65,-3231.337,6,1
66,-3280.89,6,1
67,-3332.032,6,1
68,-3384.107,6,1
69,-3432.529,6,1
70,-3481.702,6,1
71,-3529.761,6,1
72,-3576.868,6,1
73,-3624.761,6,1
74,-3677.321,6,1
75,-3728.374,6,1
76,-3776.572,6,1
77,-3825.06,6,1
78,-3875.306,6,1
79,-3927.613,6,1
80,-3976.509,6,1
81,-4026.147,6,1
82,-4076.933,6,1
83,-4126.181,6,1
84,-4175.858,6,1
85,-4311.897,6,1
86,-4369.187,6,1
87,-4419.665,6,1
88,-4472.421,6,1
89,-4525.194,6,1
90,-4577.769,6,1
91,-4627.231,6,1
92,-4680.815,6,1
93,-4732.943,6,1
94,-4784.179,6,1
95,-4836.705,6,1
96,-4889.845,6,1
97,-4939.617,6,1
98,-4988.543,6,1
99,-5041.365,6,1
100,-5088.387,6,1
101,-5136.511,6,1
102,-5184.468,6,1
103,-5234.001,6,1
104,-5304.11,6,1
105,-5353.684,6,1
106,-5407.224,6,1
107,-5455.677,6,1
108,-5504.581,6,1
109,-5553.535,6,1
110,-5605.163,6,1
111,-5654.76,6,1
112,-5702.835,6,1
113,-5751.959,6,1
114,-5800.27,6,1
115,-5852.793,6,1
116,-5905.274,6,1
117,-5954.873,6,1
118,-6001.261,6,1
119,-6044.549,6,1
120,-6092.17,6,1
121,-6140.607,6,1
122,-6192.182,6,1
123,-6241.003,6,1
124,-6293.563,6,1
125,-6345.624,6,1
126,-6394.783,6,1
127,-6446.487,6,1
128,-6498.997,6,1
129,-6548.182,6,1
130,-6603.412,6,1
131,-6655.273,6,1
132,-6704.42,6,1
133,-6756.815,6,1
134,-6807.22,6,1
135,-6855.692,6,1
136,-6906.657,6,1
137,-6959.283,6,1
138,-7007.683,6,1
139,-7058.446,6,1
140,-7104.836,6,1
141,-7154.013,6,1
142,-7203.833,6,1
143,-7254.521,6,1
144,-7310.162,6,1
145,-7362.398,6,1
146,-7412.959,6,1
147,-7461.882,6,1
148,-7515.324,6,1
149,-7563.658,6,1
150,-7616.953,6,1
151,-7676.005,6,1
152,-7724.616,6,1
153,-7776.489,6,1
154,-7836.39,6,1
155,-7889.542,6,1
156,-7941.973,6,1
157,-7998.74,6,1
158,-8061.958,6,1
159,-8112.908,6,1
160,-8231.392,6,1
161,-8281.282,6,1
162,-8332.559,6,1
163,-8384.595,6,1
164,-8436.249,6,1
165,-8484.979,6,1
166,-8537.792,6,1
167,-8586.305,6,1
168,-8636.567,6,1
169,-8689.158,6,1
170,-8741.192,6,1
171,-8793.504,6,1
172,-8844.928,6,1
173,-8897.592,6,1
174,-8948.734,6,1
175,-9003.762,6,1
176,-9055.209,6,1
177,-9109.284,6,1
178,-9164.396,6,1
179,-9219.306,6,1
180,-9273.316,6,1
181,-9326.495,6,1
182,-7377.001,6,1.001667
183,-7438.902,6,1.001667
184,-7483.339,6,1.001667
185,-7527.966,6,1.001667
186,-7570.62,6,1.001667
187,-7614.597,6,1.001667
188,-7657.597,6,1.001667
189,-7702.114,6,1.001667
190,-7747.107,6,1.001667
191,-7790.419,6,1.001667
192,-7834.722,6,1.001667
193,-7877.34,6,1.001667
194,-7919.547,6,1.001667
195,-7958.995,6,1.001667
196,-8000.863,6,1.001667
197,-8044.131,6,1.001667
198,-8086.021,6,1.001667
199,-8127.372,6,1.001667
200,-8166.138,6,1.001667
201,-8206.781,6,1.001667
202,-8248.589,6,1.001667
203,-8285.274,6,1.001667
204,-8321.372,6,1.001667
205,-8357.964,6,1.001667
206,-8397.597,6,1.001667
207,-8438.759,6,1.001667
208,-8480.608,6,1.001667
209,-8518.721,6,1.001667
210,-8556.914,6,1.001667
211,-8598.597,6,1.001667
212,-8640.533,6,1.001667
213,-8680.047,6,1.001667
214,-8721.867,6,1.001667
215,-8762.451,6,1.001667
216,-8802.918,6,1.001667
217,-8843.979,6,1.001667
218,-8884.773,6,1.001667
219,-8924.407,6,1.001667
220,-8965.087,6,1.001667
221,-9005.261,6,1.001667
222,-9034.7,4,0.9983333
223,-9063.811,4,0.9983333
224,-9094.611,4,0.9983333
225,-9123.121,4,0.9983333
226,-9151.706,4,0.9983333
227,-9181.352,4,0.9983333
228,-9211.567,4,0.9983333
229,-9238.978,3,0.9966667
230,-9262.579,3,0.9966667
231,-9286.139,2,0.9950001
232,-9304.881,2,0.9950001
233,-9324.318,2,0.9950001
234,-9342.969,2,0.9950001
235,-9362.158,2,0.9950001
236,-9381.816,2,0.9950001
237,-9400.778,2,0.9950001
238,-9419.751,2,0.9950001
239,-9438.896,2,0.9950001
240,-9458.19,2,0.9950001
241,-9473.026,1,0.9933333
242,-9486.508,1,0.9933333
243,-9500.56,1,0.9933333
244,-9513.723,1,0.9933333
245,-9527.862,1,0.9933333
246,-9542.522,1,0.9933333
247,-9555.64,1,0.9933333
248,-9569.512,1,0.9933333
249,-9582.884,1,0.9933333
250,-9597.012,1,0.9933333
251,-9610.301,1,0.9933333
252,-9624.534,1,0.9933333
253,-9637.937,1,0.9933333
254,-9652.199,1,0.9933333
255,-9665.439,1,0.9933333
256,-9678.969,1,0.9933333
257,-9692.547,1,0.9933333
258,-9706.262,1,0.9933333
259,-9719.877,1,0.9933333
260,-9733.898,1,0.9933333
261,-9747.112,1,0.9933333
262,-9760.89,1,0.9933333
263,-9774.324,1,0.9933333
264,-9788.342,1,0.9933333
265,-9801.438,1,0.9933333
266,-9815.257,1,0.9933333
267,-9830.267,1,0.9933333
268,-9844.518,1,0.9933333
269,-9857.704,1,0.9933333
270,-9870.935,1,0.9933333
271,-9883.829,1,0.9933333
272,-9895.745,1,0.9933333
273,-9908.652,1,0.9933333
274,-9921.979,1,0.9933333
275,-9975.556,1,0.9933333
276,-9990.093,1,0.9933333
277,-10004.14,1,0.9933333
278,-10018.01,1,0.9933333
279,-10031.91,1,0.9933333
280,-10047.39,1,0.9933333
281,-10061.36,1,0.9933333
282,-10075.84,1,0.9933333
283,-10091.1,1,0.9933333
284,-10105.28,1,0.9933333
285,-10118.8,1,0.9933333
